Temperature;PM2.5;PM10;SO2;CO;status
13.2;189.1;127.8;3.7;43.4;1
12.1;21.0;163.0;17.4;48.8;1
31.1;381.4;371.5;25.2;18.2;1
43.8;286.6;447.2;89.0;41.1;1
27.6;407.4;451.2;61.1;42.5;1
11.8;37.8;5.2;95.8;7.2;1
17.7;310.6;391.1;34.0;31.6;1
18.6;123.9;378.4;40.2;8.7;1
21.8;451.6;310.6;72.0;22.3;1
11.5;55.0;227.5;57.8;44.0;1
41.7;421.5;478.5;52.8;39.5;1
28.0;44.3;206.3;57.6;28.5;1
33.5;12.5;138.0;58.4;40.4;1
12.4;117.5;186.1;76.6;7.6;1
11.9;166.5;263.8;66.8;9.7;1
30.5;313.3;128.4;95.7;10.4;1
41.1;65.9;364.5;94.8;38.8;1
28.5;218.7;530.5;42.2;44.5;1
40.7;102.1;357.3;3.6;28.1;1
38.4;427.7;268.0;1.1;47.9;1
12.7;22.5;478.1;12.3;36.4;1
17.1;178.0;448.8;7.5;28.2;1
33.0;315.7;220.2;37.3;30.6;1
25.5;456.5;362.5;5.3;42.5;1
20.2;434.0;437.9;62.5;4.5;1
24.7;447.6;147.3;19.0;8.4;1
25.6;31.4;219.8;51.4;13.3;1
41.9;420.5;63.5;10.3;44.7;1
13.6;390.0;592.6;82.8;47.2;1
19.8;451.2;51.5;78.0;17.8;1
28.8;155.8;101.2;38.6;46.2;1
34.4;455.9;287.9;91.1;27.3;1
32.1;201.3;519.2;18.6;23.7;1
43.0;317.0;213.5;81.4;41.6;1
37.8;212.1;461.2;54.6;27.3;1
29.5;213.8;405.6;33.0;22.7;1
17.5;273.3;383.2;8.4;0.8;1
25.8;178.0;507.0;17.1;0.6;1
34.3;396.4;8.5;86.3;31.4;1
39.3;316.8;557.5;60.7;3.7;1
43.6;344.9;497.5;23.7;36.8;1
31.2;115.5;562.7;49.6;31.1;1
28.4;484.8;476.2;10.8;22.9;1
10.6;330.1;527.2;9.9;35.5;1
12.5;98.6;121.8;90.8;49.7;1
15.5;375.2;191.5;45.8;12.3;1
11.9;86.9;189.1;36.2;27.9;1
24.0;31.7;65.5;94.9;42.1;1
21.8;263.8;437.7;39.9;0.8;1
32.3;276.8;81.7;33.6;10.2;1
28.7;94.5;31.5;27.3;26.0;1
30.9;174.2;465.3;56.5;27.6;1
26.5;472.9;542.8;55.8;4.3;1
19.7;142.5;458.5;1.6;20.4;1
43.3;77.8;495.2;65.4;26.0;1
13.0;496.3;357.4;78.8;21.1;1
42.9;151.2;532.6;61.6;35.0;1
20.9;340.1;298.0;87.0;38.6;1
27.9;115.8;593.0;27.6;23.0;1
13.8;275.1;62.0;19.2;21.3;1
12.5;193.1;485.5;69.7;35.3;1
25.0;480.8;384.8;18.9;27.8;1
36.0;216.4;348.4;9.1;43.5;1
19.4;292.1;435.5;9.7;24.1;1
29.7;472.4;504.2;76.8;28.7;1
19.8;494.6;517.7;2.9;6.4;1
23.6;50.8;105.2;28.9;41.8;1
41.7;417.2;118.2;12.9;21.1;1
40.0;191.1;9.7;75.5;36.0;1
28.1;297.4;79.1;50.3;21.5;1
18.3;187.5;158.3;20.5;0.1;1
16.8;200.6;432.6;75.0;20.0;1
43.4;79.4;285.5;75.0;7.4;1
17.1;286.4;454.7;52.3;19.9;1
38.3;273.4;291.9;27.6;16.1;1
22.9;94.7;333.4;58.6;10.1;1
44.5;270.9;66.6;93.4;6.2;1
22.9;486.6;465.9;5.2;36.4;1
22.3;357.2;454.9;26.7;37.7;1
32.3;240.5;184.5;28.5;13.2;1
43.7;458.0;197.1;63.2;24.8;1
44.2;287.7;131.8;65.1;23.2;1
34.8;67.5;488.3;20.6;17.8;1
36.4;273.8;448.2;21.6;13.9;1
29.7;90.5;365.5;92.8;9.3;1
36.5;383.8;143.3;75.6;43.6;1
40.1;483.6;103.1;93.4;41.7;1
27.0;180.4;30.2;83.0;20.9;1
31.7;217.5;27.4;40.2;36.1;1
28.8;210.7;112.3;12.2;24.9;1
29.7;142.6;60.3;63.0;4.3;1
41.2;397.1;333.7;35.2;41.1;1
22.4;308.9;214.9;42.5;11.0;1
17.3;32.0;267.0;42.6;35.3;1
26.0;419.4;356.4;93.7;26.4;1
17.3;93.5;395.5;6.9;34.5;1
27.4;489.6;388.9;19.3;23.6;1
41.6;188.3;156.5;60.8;35.1;1
31.6;308.2;485.8;88.4;1.6;1
39.9;38.9;550.6;91.8;2.0;1
15.8;172.3;189.6;55.9;44.8;1
41.5;401.2;10.2;3.5;37.5;1
31.1;238.6;539.5;36.3;41.4;1
11.1;452.3;554.1;91.9;22.8;1
32.2;287.6;30.6;50.0;23.0;1
43.3;464.3;3.0;72.7;26.7;1
12.8;491.3;489.8;26.9;12.2;1
30.4;226.9;180.9;2.5;36.7;1
42.0;282.6;548.7;57.8;41.5;1
10.3;417.5;130.0;83.5;45.4;1
32.1;110.8;516.7;99.0;25.9;1
26.6;430.8;41.2;84.7;20.7;1
22.1;296.0;156.4;55.4;41.5;1
32.0;362.8;583.9;60.9;37.6;1
11.8;39.9;138.7;82.4;43.4;1
36.4;383.1;79.8;2.0;32.8;1
10.2;155.4;514.2;95.2;44.2;1
20.7;402.6;70.7;53.1;4.5;1
27.6;254.6;58.5;95.2;34.0;1
23.2;137.3;194.1;76.5;4.4;1
20.8;476.4;381.2;15.2;37.4;1
39.1;382.5;426.4;16.5;31.4;1
42.7;492.8;528.7;35.4;0.8;1
40.6;182.2;324.5;26.4;30.0;1
28.3;324.6;236.1;43.9;7.3;1
40.9;305.8;215.3;60.4;7.1;1
42.2;343.8;508.1;43.7;7.5;1
24.3;19.2;434.3;5.6;24.2;1
19.9;145.9;543.3;97.6;5.8;1
13.4;454.7;578.4;42.5;6.3;1
26.8;211.9;180.0;85.1;12.8;1
43.1;480.3;317.8;7.4;0.0;1
29.6;106.8;379.1;81.0;13.8;1
33.4;498.7;98.3;17.3;30.9;1
14.0;348.8;32.0;67.9;30.1;1
15.0;388.2;520.7;66.2;48.5;1
26.3;198.4;321.3;91.0;6.0;1
43.3;453.5;342.5;32.1;43.3;1
22.6;272.7;332.9;10.9;19.6;1
40.7;340.5;453.0;86.5;19.4;1
14.2;47.4;87.3;33.2;17.4;1
31.6;315.8;368.4;23.3;6.2;1
31.0;439.5;281.7;48.6;23.9;1
40.1;89.1;538.2;14.6;39.4;1
10.1;368.9;311.8;29.7;43.8;1
16.6;12.7;565.8;38.5;48.1;1
17.7;463.1;212.0;27.7;39.3;1
43.2;491.5;580.1;45.0;31.2;1
15.4;177.1;525.1;38.5;24.9;1
11.3;53.5;350.6;77.5;43.7;1
28.7;329.3;212.2;91.8;37.0;1
28.5;14.9;225.6;10.1;8.1;1
39.5;241.2;463.7;82.3;34.1;1
43.2;135.9;348.4;93.2;21.6;1
28.8;236.7;241.0;68.7;29.8;1
42.5;9.1;381.6;99.6;44.9;1
35.4;25.8;439.9;33.5;32.6;1
19.3;8.0;13.7;83.0;46.9;1
42.5;309.6;53.9;67.4;43.3;1
33.4;280.0;56.7;32.3;6.4;1
24.5;116.6;139.2;70.5;0.6;1
33.8;323.3;256.2;51.0;19.2;1
24.0;442.1;482.2;18.9;43.3;1
14.0;138.7;210.7;17.4;11.5;1
35.2;416.0;10.5;71.3;34.6;1
38.8;331.3;290.0;71.2;23.8;1
35.5;16.9;598.0;53.1;37.3;1
18.0;187.6;209.4;50.1;8.2;1
43.5;253.9;576.8;18.0;12.0;1
10.9;365.8;60.8;42.9;12.1;1
21.6;143.6;103.9;87.1;27.4;1
19.1;491.4;434.5;85.5;14.5;1
11.7;342.3;300.7;66.1;40.6;1
24.2;186.4;459.1;99.7;17.3;1
31.8;48.5;518.1;89.3;33.0;1
40.9;90.7;150.7;14.5;47.4;1
44.6;243.8;409.7;39.9;30.3;1
38.3;247.3;364.6;13.2;12.1;1
26.4;383.9;516.9;46.6;41.5;1
35.3;363.1;258.1;77.6;0.6;1
39.5;100.6;31.1;15.6;12.8;1
26.3;297.5;344.5;88.0;19.4;1
37.5;10.3;575.3;56.9;9.8;1
26.9;199.3;8.8;74.9;30.2;1
23.5;382.1;144.2;4.5;27.9;1
28.4;199.8;189.6;9.4;20.3;1
33.7;417.8;459.5;62.1;14.7;1
35.4;488.1;194.0;83.8;21.7;1
22.5;303.6;143.5;87.4;14.6;1
30.0;72.5;389.1;68.8;11.1;1
41.8;189.8;27.8;20.1;17.6;1
44.2;4.7;102.4;19.5;30.1;1
18.0;301.4;244.8;88.1;32.4;1
16.7;410.8;213.4;11.3;14.9;1
33.7;315.0;208.3;68.6;47.4;1
24.5;393.0;65.1;53.4;13.1;1
10.8;400.0;216.5;42.1;35.6;1
22.1;425.5;478.8;44.0;4.1;1
38.2;133.3;248.3;94.5;33.2;1
37.9;435.6;351.7;86.1;23.0;1
27.3;327.0;98.1;86.5;28.5;1
26.5;144.9;41.8;40.7;9.2;1
30.3;493.6;528.0;10.7;21.7;1
17.7;475.1;198.8;99.8;38.3;1
28.4;287.2;210.2;14.5;38.4;1
10.4;421.6;526.6;51.6;11.9;1
