Temperature;PM2.5;PM10;SO2;CO;status
23.1;196.8;224.2;50.0;36.5;1
43.3;236.7;199.7;74.7;9.2;1
35.6;427.3;105.7;56.3;17.3;1
31.0;170.0;364.4;8.3;33.2;1
15.5;434.8;286.0;18.6;24.1;1
15.5;44.1;519.4;21.9;36.9;1
12.0;388.4;19.3;25.8;48.1;1
40.3;423.8;386.3;56.5;5.8;1
31.0;90.9;457.8;50.4;35.5;1
34.8;215.2;455.7;20.3;11.5;1
10.7;82.7;531.6;6.8;20.7;1
43.9;353.3;437.4;17.1;1.6;1
39.1;267.7;556.7;98.4;6.8;1
17.4;317.7;199.6;46.9;16.0;1
16.4;98.2;301.9;86.7;17.1;1
16.4;105.9;8.4;84.9;45.0;1
20.6;20.7;4.2;51.2;37.1;1
28.4;161.0;144.1;70.7;48.6;1
25.1;279.9;60.5;19.3;30.0;1
20.2;429.0;156.1;68.8;12.1;1
31.4;333.5;106.2;27.2;16.4;1
14.9;217.7;17.1;83.2;16.0;1
20.2;476.6;545.6;8.4;16.3;1
22.8;359.6;4.9;77.3;33.6;1
26.0;465.1;441.6;10.0;26.5;1
37.5;263.8;91.3;88.1;19.3;1
17.0;129.5;547.3;30.4;7.5;1
28.0;26.4;535.7;65.4;1.1;1
30.7;363.0;392.3;48.8;10.9;1
11.6;60.7;403.3;36.6;5.4;1
31.3;151.4;3.2;64.5;39.3;1
16.0;266.2;590.9;94.8;5.6;1
12.3;282.2;526.7;4.1;36.2;1
43.2;300.3;537.1;91.9;19.3;1
43.8;83.1;395.5;60.9;3.7;1
38.3;189.9;206.9;80.7;40.6;1
20.7;308.6;536.2;38.4;29.0;1
13.4;484.9;174.9;47.2;11.8;1
33.9;363.8;337.6;86.9;44.7;1
25.4;461.3;59.8;41.5;2.3;1
14.3;381.1;553.2;53.5;10.1;1
27.3;295.9;84.5;2.0;37.6;1
11.2;96.0;134.9;15.9;35.5;1
41.8;333.3;334.9;64.2;14.5;1
19.1;311.7;458.5;71.7;3.1;1
33.2;301.2;371.6;58.3;42.9;1
20.9;244.9;139.3;14.3;15.7;1
28.2;264.3;0.6;44.5;9.8;1
29.1;167.2;454.3;35.5;25.8;1
16.5;259.7;591.1;49.6;45.5;1
43.9;98.8;485.9;87.0;2.2;1
37.1;402.6;276.1;77.6;38.3;1
42.9;92.9;542.3;8.4;28.6;1
41.3;42.5;245.9;89.0;21.3;1
30.9;218.1;315.0;47.2;37.2;1
42.3;329.2;286.3;74.4;48.3;1
13.1;218.9;268.6;14.0;11.5;1
16.9;138.4;465.1;67.1;7.2;1
11.6;279.1;316.1;23.6;45.6;1
21.4;173.5;190.0;43.8;33.4;1
23.6;466.4;154.9;1.7;21.9;1
19.5;461.3;22.6;15.2;28.7;1
39.0;251.2;349.9;9.2;37.3;1
22.5;163.9;138.0;24.0;38.7;1
19.8;368.6;88.9;10.0;46.0;1
29.0;18.4;392.3;69.2;21.3;1
14.9;237.4;408.7;2.9;14.7;1
38.1;168.2;451.3;61.8;32.0;1
12.6;460.3;302.1;14.1;20.8;1
44.5;6.0;536.4;94.5;29.7;1
37.0;276.4;561.8;93.3;21.0;1
17.0;370.3;484.4;22.6;7.6;1
10.2;242.5;381.4;61.4;23.5;1
38.5;42.7;182.2;2.8;34.5;1
34.7;486.2;589.8;93.2;40.0;1
35.5;259.0;164.5;52.3;24.7;1
37.0;307.1;121.6;4.3;8.3;1
12.6;118.3;265.3;34.2;20.7;1
22.5;241.7;34.1;7.7;39.3;1
14.1;214.6;587.1;39.3;20.6;1
40.2;37.4;353.1;67.0;34.8;1
